% MTEX ODF
% crystal symmetry: "m-3m"
% specimen symmetry: "1"
% phi1    Phi     phi2    value
330.00000 7.50000 30.00000 3.05453
330.00000 7.50000 35.00000 2.84223
330.00000 7.50000 40.00000 2.36013
330.00000 7.50000 45.00000 1.91009
330.00000 7.50000 50.00000 1.61981
330.00000 7.50000 55.00000 1.44662
330.00000 7.50000 60.00000 1.32850
330.00000 7.50000 65.00000 1.23548
330.00000 7.50000 70.00000 1.16235
10.00000 7.50000 305.00000 1.08775
10.00000 7.50000 310.00000 1.10039
10.00000 7.50000 315.00000 1.14681
10.00000 7.50000 320.00000 1.20942
10.00000 7.50000 325.00000 1.29653
10.00000 7.50000 330.00000 1.44355
10.00000 7.50000 335.00000 1.71641
10.00000 7.50000 340.00000 2.16248
10.00000 7.50000 345.00000 2.65417
10.00000 7.50000 350.00000 2.88529
10.00000 7.50000 355.00000 2.67695
10.00000 7.50000 0.00000 2.20294
10.00000 7.50000 5.00000 1.76748
10.00000 7.50000 10.00000 1.49852
10.00000 7.50000 15.00000 1.35125
10.00000 7.50000 20.00000 1.25630
10.00000 7.50000 25.00000 1.18502
10.00000 7.50000 30.00000 1.12916
50.00000 7.50000 265.00000 1.06941
50.00000 7.50000 270.00000 1.08568
50.00000 7.50000 275.00000 1.12305
50.00000 7.50000 280.00000 1.17338
50.00000 7.50000 285.00000 1.24507
50.00000 7.50000 290.00000 1.37078
50.00000 7.50000 295.00000 1.62300
50.00000 7.50000 300.00000 2.04527
50.00000 7.50000 305.00000 2.51461
50.00000 7.50000 310.00000 2.73204
50.00000 7.50000 315.00000 2.52451
50.00000 7.50000 320.00000 2.06413
50.00000 7.50000 325.00000 1.64836
50.00000 7.50000 330.00000 1.40020
50.00000 7.50000 335.00000 1.27199
50.00000 7.50000 340.00000 1.19735
50.00000 7.50000 345.00000 1.14260
50.00000 7.50000 350.00000 1.10039
101.25000 12.50000 213.75000 0.78870
101.25000 12.50000 218.75000 0.80711
101.25000 12.50000 223.75000 0.83242
101.25000 12.50000 228.75000 0.86584
101.25000 12.50000 233.75000 0.91361
101.25000 12.50000 238.75000 1.00125
101.25000 12.50000 243.75000 1.18649
101.25000 12.50000 248.75000 1.50653
101.25000 12.50000 253.75000 1.86974
101.25000 12.50000 258.75000 2.04154
101.25000 12.50000 263.75000 1.87822
101.25000 12.50000 268.75000 1.51502
101.25000 12.50000 273.75000 1.18734
101.25000 12.50000 278.75000 0.99660
101.25000 12.50000 283.75000 0.90610
101.25000 12.50000 288.75000 0.85843
101.25000 12.50000 293.75000 0.82626
101.25000 12.50000 298.75000 0.80245
123.75000 12.50000 191.25000 0.79574
123.75000 12.50000 196.25000 0.81777
123.75000 12.50000 201.25000 0.84756
123.75000 12.50000 206.25000 0.88593
123.75000 12.50000 211.25000 0.94016
123.75000 12.50000 216.25000 1.03004
123.75000 12.50000 221.25000 1.20587
123.75000 12.50000 226.25000 1.50150
123.75000 12.50000 231.25000 1.83148
123.75000 12.50000 236.25000 1.98436
123.75000 12.50000 241.25000 1.83286
123.75000 12.50000 246.25000 1.49559
123.75000 12.50000 251.25000 1.18794
123.75000 12.50000 256.25000 1.00270
123.75000 12.50000 261.25000 0.91204
123.75000 12.50000 266.25000 0.86209
123.75000 12.50000 271.25000 0.82799
123.75000 12.50000 276.25000 0.80302
146.25000 12.50000 168.75000 0.80741
146.25000 12.50000 173.75000 0.83572
146.25000 12.50000 178.75000 0.87351
146.25000 12.50000 183.75000 0.92347
146.25000 12.50000 188.75000 0.98884
146.25000 12.50000 193.75000 1.09340
146.25000 12.50000 198.75000 1.28610
146.25000 12.50000 203.75000 1.59564
146.25000 12.50000 208.75000 1.92643
146.25000 12.50000 213.75000 2.06354
146.25000 12.50000 218.75000 1.89096
146.25000 12.50000 223.75000 1.53988
146.25000 12.50000 228.75000 1.22540
146.25000 12.50000 233.75000 1.03525
146.25000 12.50000 238.75000 0.93620
146.25000 12.50000 243.75000 0.87766
146.25000 12.50000 248.75000 0.83794
146.25000 12.50000 253.75000 0.80892
168.75000 12.50000 146.25000 0.82408
168.75000 12.50000 151.25000 0.86163
168.75000 12.50000 156.25000 0.91142
168.75000 12.50000 161.25000 0.97623
168.75000 12.50000 166.25000 1.05888
168.75000 12.50000 171.25000 1.18456
168.75000 12.50000 176.25000 1.40643
168.75000 12.50000 181.25000 1.75605
168.75000 12.50000 186.25000 2.12717
168.75000 12.50000 191.25000 2.27960
168.75000 12.50000 196.25000 2.08303
168.75000 12.50000 201.25000 1.68427
168.75000 12.50000 206.25000 1.32450
168.75000 12.50000 211.25000 1.10250
168.75000 12.50000 216.25000 0.98229
168.75000 12.50000 221.25000 0.90945
168.75000 12.50000 226.25000 0.85765
168.75000 12.50000 231.25000 0.82108
191.25000 12.50000 123.75000 0.84431
191.25000 12.50000 128.75000 0.89359
191.25000 12.50000 133.75000 0.95889
191.25000 12.50000 138.75000 1.04177
191.25000 12.50000 143.75000 1.14412
191.25000 12.50000 148.75000 1.28756
191.25000 12.50000 153.75000 1.52200
191.25000 12.50000 158.75000 1.88035
191.25000 12.50000 163.75000 2.26312
191.25000 12.50000 168.75000 2.43118
191.25000 12.50000 173.75000 2.24214
191.25000 12.50000 178.75000 1.83196
191.25000 12.50000 183.75000 1.44632
191.25000 12.50000 188.75000 1.19558
191.25000 12.50000 193.75000 1.05022
191.25000 12.50000 198.75000 0.95696
191.25000 12.50000 203.75000 0.88891
191.25000 12.50000 208.75000 0.84080
213.75000 12.50000 101.25000 0.86377
213.75000 12.50000 106.25000 0.92520
213.75000 12.50000 111.25000 1.00711
213.75000 12.50000 116.25000 1.10916
213.75000 12.50000 121.25000 1.23454
213.75000 12.50000 126.25000 1.39767
213.75000 12.50000 131.25000 1.64062
213.75000 12.50000 136.25000 1.98872
213.75000 12.50000 141.25000 2.34872
213.75000 12.50000 146.25000 2.50387
213.75000 12.50000 151.25000 2.32567
213.75000 12.50000 156.25000 1.93651
213.75000 12.50000 161.25000 1.55974
213.75000 12.50000 166.25000 1.29952
213.75000 12.50000 171.25000 1.13413
213.75000 12.50000 176.25000 1.01894
213.75000 12.50000 181.25000 0.93169
213.75000 12.50000 186.25000 0.86835
236.25000 12.50000 78.75000 0.87603
236.25000 12.50000 83.75000 0.94645
236.25000 12.50000 88.75000 1.04144
236.25000 12.50000 93.75000 1.16118
236.25000 12.50000 98.75000 1.30716
236.25000 12.50000 103.75000 1.49538
236.25000 12.50000 108.75000 1.76827
236.25000 12.50000 113.75000 2.14176
236.25000 12.50000 118.75000 2.51321
236.25000 12.50000 123.75000 2.66188
236.25000 12.50000 128.75000 2.46955
236.25000 12.50000 133.75000 2.06965
236.25000 12.50000 138.75000 1.68392
236.25000 12.50000 143.75000 1.40986
236.25000 12.50000 148.75000 1.22481
236.25000 12.50000 153.75000 1.08691
236.25000 12.50000 158.75000 0.98101
236.25000 12.50000 163.75000 0.90096
258.75000 12.50000 56.25000 0.87603
258.75000 12.50000 61.25000 0.94878
258.75000 12.50000 66.25000 1.04842
258.75000 12.50000 71.25000 1.17599
258.75000 12.50000 76.25000 1.33411
258.75000 12.50000 81.25000 1.54117
258.75000 12.50000 86.25000 1.84206
258.75000 12.50000 91.25000 2.25933
258.75000 12.50000 96.25000 2.67877
258.75000 12.50000 101.25000 2.85635
258.75000 12.50000 106.25000 2.65463
258.75000 12.50000 111.25000 2.22196
258.75000 12.50000 116.25000 1.80334
258.75000 12.50000 121.25000 1.50406
258.75000 12.50000 126.25000 1.30075
258.75000 12.50000 131.25000 1.14713
258.75000 12.50000 136.25000 1.02503
258.75000 12.50000 141.25000 0.93119
281.25000 12.50000 38.75000 0.93119
281.25000 12.50000 43.75000 1.02503
281.25000 12.50000 48.75000 1.14713
281.25000 12.50000 53.75000 1.30075
281.25000 12.50000 58.75000 1.50406
281.25000 12.50000 63.75000 1.80334
281.25000 12.50000 68.75000 2.22196
281.25000 12.50000 73.75000 2.65463
281.25000 12.50000 78.75000 2.85635
281.25000 12.50000 83.75000 2.67877
281.25000 12.50000 88.75000 2.25933
281.25000 12.50000 93.75000 1.84206
281.25000 12.50000 98.75000 1.54117
281.25000 12.50000 103.75000 1.33411
281.25000 12.50000 108.75000 1.17599
281.25000 12.50000 113.75000 1.04842
281.25000 12.50000 118.75000 0.94878
303.75000 12.50000 16.25000 0.90096
303.75000 12.50000 21.25000 0.98101
303.75000 12.50000 26.25000 1.08691
303.75000 12.50000 31.25000 1.22481
303.75000 12.50000 36.25000 1.40986
303.75000 12.50000 41.25000 1.68392
303.75000 12.50000 46.25000 2.06965
303.75000 12.50000 51.25000 2.46955
303.75000 12.50000 56.25000 2.66188
303.75000 12.50000 61.25000 2.51321
303.75000 12.50000 66.25000 2.14176
303.75000 12.50000 71.25000 1.76827
303.75000 12.50000 76.25000 1.49538
303.75000 12.50000 81.25000 1.30716
303.75000 12.50000 86.25000 1.16118
303.75000 12.50000 91.25000 1.04144
303.75000 12.50000 96.25000 0.94645
326.25000 12.50000 353.75000 0.86835
326.25000 12.50000 358.75000 0.93169
326.25000 12.50000 3.75000 1.01894
326.25000 12.50000 8.75000 1.13413
326.25000 12.50000 13.75000 1.29952
326.25000 12.50000 18.75000 1.55974
326.25000 12.50000 23.75000 1.93651
326.25000 12.50000 28.75000 2.32567
326.25000 12.50000 33.75000 2.50387
326.25000 12.50000 38.75000 2.34872
326.25000 12.50000 43.75000 1.98872
326.25000 12.50000 48.75000 1.64062
326.25000 12.50000 53.75000 1.39767
326.25000 12.50000 58.75000 1.23454
326.25000 12.50000 63.75000 1.10916
326.25000 12.50000 68.75000 1.00711
326.25000 12.50000 73.75000 0.92520
348.75000 12.50000 326.25000 0.84431
348.75000 12.50000 331.25000 0.84080
348.75000 12.50000 336.25000 0.88891
348.75000 12.50000 341.25000 0.95696
348.75000 12.50000 346.25000 1.05022
348.75000 12.50000 351.25000 1.19558
348.75000 12.50000 356.25000 1.44632
348.75000 12.50000 1.25000 1.83196
348.75000 12.50000 6.25000 2.24214
348.75000 12.50000 11.25000 2.43118
348.75000 12.50000 16.25000 2.26312
348.75000 12.50000 21.25000 1.88035
348.75000 12.50000 26.25000 1.52200
348.75000 12.50000 31.25000 1.28756
348.75000 12.50000 36.25000 1.14412
348.75000 12.50000 41.25000 1.04177
348.75000 12.50000 46.25000 0.95889
348.75000 12.50000 51.25000 0.89359
11.25000 12.50000 303.75000 0.82408
11.25000 12.50000 308.75000 0.82108
11.25000 12.50000 313.75000 0.85765
11.25000 12.50000 318.75000 0.90945
11.25000 12.50000 323.75000 0.98229
11.25000 12.50000 328.75000 1.10250
11.25000 12.50000 333.75000 1.32450
11.25000 12.50000 338.75000 1.68427
11.25000 12.50000 343.75000 2.08303
11.25000 12.50000 348.75000 2.27960
11.25000 12.50000 353.75000 2.12717
11.25000 12.50000 358.75000 1.75605
11.25000 12.50000 3.75000 1.40643
11.25000 12.50000 8.75000 1.18456
11.25000 12.50000 13.75000 1.05888
11.25000 12.50000 18.75000 0.97623
11.25000 12.50000 23.75000 0.91142
11.25000 12.50000 28.75000 0.86163
33.75000 12.50000 281.25000 0.80741
33.75000 12.50000 286.25000 0.80892
33.75000 12.50000 291.25000 0.83794
33.75000 12.50000 296.25000 0.87766
33.75000 12.50000 301.25000 0.93620
33.75000 12.50000 306.25000 1.03525
33.75000 12.50000 311.25000 1.22540
33.75000 12.50000 316.25000 1.53988
33.75000 12.50000 321.25000 1.89096
33.75000 12.50000 326.25000 2.06354
33.75000 12.50000 331.25000 1.92643
33.75000 12.50000 336.25000 1.59564
33.75000 12.50000 341.25000 1.28610
33.75000 12.50000 346.25000 1.09340
33.75000 12.50000 351.25000 0.98884
33.75000 12.50000 356.25000 0.92347
33.75000 12.50000 1.25000 0.87351
33.75000 12.50000 6.25000 0.83572
56.25000 12.50000 258.75000 0.79574
56.25000 12.50000 263.75000 0.80302
56.25000 12.50000 268.75000 0.82799
56.25000 12.50000 273.75000 0.86209
56.25000 12.50000 278.75000 0.91204
56.25000 12.50000 283.75000 1.00270
56.25000 12.50000 288.75000 1.18794
56.25000 12.50000 293.75000 1.49559
56.25000 12.50000 298.75000 1.83286
56.25000 12.50000 303.75000 1.98436
56.25000 12.50000 308.75000 1.83148
56.25000 12.50000 313.75000 1.50150
56.25000 12.50000 318.75000 1.20587
56.25000 12.50000 323.75000 1.03004
56.25000 12.50000 328.75000 0.94016
56.25000 12.50000 333.75000 0.88593
56.25000 12.50000 338.75000 0.84756
56.25000 12.50000 343.75000 0.81777
78.75000 12.50000 236.25000 0.78870
78.75000 12.50000 241.25000 0.80245
78.75000 12.50000 246.25000 0.82626
78.75000 12.50000 251.25000 0.85843
78.75000 12.50000 256.25000 0.90610
78.75000 12.50000 261.25000 0.99660
78.75000 12.50000 266.25000 1.18734
78.75000 12.50000 271.25000 1.51502
78.75000 12.50000 276.25000 1.87822
78.75000 12.50000 281.25000 2.04154
78.75000 12.50000 286.25000 1.86974
78.75000 12.50000 291.25000 1.50653
78.75000 12.50000 296.25000 1.18649
78.75000 12.50000 301.25000 1.00125
78.75000 12.50000 306.25000 0.91361
78.75000 12.50000 311.25000 0.86584
78.75000 12.50000 316.25000 0.83242
78.75000 12.50000 321.25000 0.80711
90.00000 17.50000 225.00000 0.60858
90.00000 17.50000 230.00000 0.61961
90.00000 17.50000 235.00000 0.63495
90.00000 17.50000 240.00000 0.65576
90.00000 17.50000 245.00000 0.68800
90.00000 17.50000 250.00000 0.75477
90.00000 17.50000 255.00000 0.90544
90.00000 17.50000 260.00000 1.17408
90.00000 17.50000 265.00000 1.47916
90.00000 17.50000 270.00000 1.61973
90.00000 17.50000 275.00000 1.47916
90.00000 17.50000 280.00000 1.17408
90.00000 17.50000 285.00000 0.90544
90.00000 17.50000 290.00000 0.75477
90.00000 17.50000 295.00000 0.68800
90.00000 17.50000 300.00000 0.65576
90.00000 17.50000 305.00000 0.63495
90.00000 17.50000 310.00000 0.61961
106.36364 17.50000 208.63636 0.61160
106.36364 17.50000 213.63636 0.62406
106.36364 17.50000 218.63636 0.64105
106.36364 17.50000 223.63636 0.66326
106.36364 17.50000 228.63636 0.69486
106.36364 17.50000 233.63636 0.75549
106.36364 17.50000 238.63636 0.88316
106.36364 17.50000 243.63636 1.11275
106.36364 17.50000 248.63636 1.38508
106.36364 17.50000 253.63636 1.52875
106.36364 17.50000 258.63636 1.42466
106.36364 17.50000 263.63636 1.15530
106.36364 17.50000 268.63636 0.90392
106.36364 17.50000 273.63636 0.75538
106.36364 17.50000 278.63636 0.68694
106.36364 17.50000 283.63636 0.65375
106.36364 17.50000 288.63636 0.63287
106.36364 17.50000 293.63636 0.61786
122.72727 17.50000 192.27273 0.61683
122.72727 17.50000 197.27273 0.63195
122.72727 17.50000 202.27273 0.65220
122.72727 17.50000 207.27273 0.67979
122.72727 17.50000 212.27273 0.71570
122.72727 17.50000 217.27273 0.77391
122.72727 17.50000 222.27273 0.88412
122.72727 17.50000 227.27273 1.06874
122.72727 17.50000 232.27273 1.27958
122.72727 17.50000 237.27273 1.38653
122.72727 17.50000 242.27273 1.30097
122.72727 17.50000 247.27273 1.08678
122.72727 17.50000 252.27273 0.88158
122.72727 17.50000 257.27273 0.75316
122.72727 17.50000 262.27273 0.69025
122.72727 17.50000 267.27273 0.65659
122.72727 17.50000 272.27273 0.63443
122.72727 17.50000 277.27273 0.61853
139.09091 17.50000 175.90909 0.62499
139.09091 17.50000 180.90909 0.64436
139.09091 17.50000 185.90909 0.67166
139.09091 17.50000 190.90909 0.70615
139.09091 17.50000 195.90909 0.75206
139.09091 17.50000 200.90909 0.82315
139.09091 17.50000 205.90909 0.94667
139.09091 17.50000 210.90909 1.13488
139.09091 17.50000 215.90909 1.32754
139.09091 17.50000 220.90909 1.40079
139.09091 17.50000 225.90909 1.29200
139.09091 17.50000 230.90909 1.07909
139.09091 17.50000 235.90909 0.88674
139.09091 17.50000 240.90909 0.76740
139.09091 17.50000 245.90909 0.70345
139.09091 17.50000 250.90909 0.66516
139.09091 17.50000 255.90909 0.63993
139.09091 17.50000 260.90909 0.62171
155.45455 17.50000 159.54545 0.63687
155.45455 17.50000 164.54545 0.66252
155.45455 17.50000 169.54545 0.69858
155.45455 17.50000 174.54545 0.74413
155.45455 17.50000 179.54545 0.80515
155.45455 17.50000 184.54545 0.90016
155.45455 17.50000 189.54545 1.06425
155.45455 17.50000 194.54545 1.30915
155.45455 17.50000 199.54545 1.54959
155.45455 17.50000 204.54545 1.62534
155.45455 17.50000 209.54545 1.46913
155.45455 17.50000 214.54545 1.19354
155.45455 17.50000 219.54545 0.95483
155.45455 17.50000 224.54545 0.80940
155.45455 17.50000 229.54545 0.73065
155.45455 17.50000 234.54545 0.68340
155.45455 17.50000 239.54545 0.65030
155.45455 17.50000 244.54545 0.62796
171.81818 17.50000 143.18182 0.65291
171.81818 17.50000 148.18182 0.68722
171.81818 17.50000 153.18182 0.73431
171.81818 17.50000 158.18182 0.79329
171.81818 17.50000 163.18182 0.87029
171.81818 17.50000 168.18182 0.98663
171.81818 17.50000 173.18182 1.18598
171.81818 17.50000 178.18182 1.48947
171.81818 17.50000 183.18182 1.80022
171.81818 17.50000 188.18182 1.91536
171.81818 17.50000 193.18182 1.73371
171.81818 17.50000 198.18182 1.38611
171.81818 17.50000 203.18182 1.07511
171.81818 17.50000 208.18182 0.88147
171.81818 17.50000 213.18182 0.77528
171.81818 17.50000 218.18182 0.71167
171.81818 17.50000 223.18182 0.66703
171.81818 17.50000 228.18182 0.63821
188.18182 17.50000 126.81818 0.67260
188.18182 17.50000 131.81818 0.71790
188.18182 17.50000 136.81818 0.77685
188.18182 17.50000 141.81818 0.85308
188.18182 17.50000 146.81818 0.94531
188.18182 17.50000 151.81818 1.07201
188.18182 17.50000 156.81818 1.27342
188.18182 17.50000 161.81818 1.57668
188.18182 17.50000 166.81818 1.90103
188.18182 17.50000 171.81818 2.04702
188.18182 17.50000 176.81818 1.88927
188.18182 17.50000 181.81818 1.53552
188.18182 17.50000 186.81818 1.19462
188.18182 17.50000 191.81818 0.96754
188.18182 17.50000 196.81818 0.83469
188.18182 17.50000 201.81818 0.75157
188.18182 17.50000 206.81818 0.69432
188.18182 17.50000 211.81818 0.65367
204.54545 17.50000 110.45455 0.69378
204.54545 17.50000 115.45455 0.75154
204.54545 17.50000 120.45455 0.82706
204.54545 17.50000 125.45455 0.92104
204.54545 17.50000 130.45455 1.03124
204.54545 17.50000 135.45455 1.16734
204.54545 17.50000 140.45455 1.35617
204.54545 17.50000 145.45455 1.61721
204.54545 17.50000 150.45455 1.88995
204.54545 17.50000 155.45455 2.01820
204.54545 17.50000 160.45455 1.89369
204.54545 17.50000 165.45455 1.59118
204.54545 17.50000 170.45455 1.27973
204.54545 17.50000 175.45455 1.05274
204.54545 17.50000 180.45455 0.90439
204.54545 17.50000 185.45455 0.80254
204.54545 17.50000 190.45455 0.72882
204.54545 17.50000 195.45455 0.67542
220.90909 17.50000 94.09091 0.71258
220.90909 17.50000 99.09091 0.78237
220.90909 17.50000 104.09091 0.87449
220.90909 17.50000 109.09091 0.98753
220.90909 17.50000 114.09091 1.12103
220.90909 17.50000 119.09091 1.27772
220.90909 17.50000 124.09091 1.47552
220.90909 17.50000 129.09091 1.72071
220.90909 17.50000 134.09091 1.95252
220.90909 17.50000 139.09091 2.04314
220.90909 17.50000 144.09091 1.91744
220.90909 17.50000 149.09091 1.64614
220.90909 17.50000 154.09091 1.36446
220.90909 17.50000 159.09091 1.14465
220.90909 17.50000 164.09091 0.98465
220.90909 17.50000 169.09091 0.86399
220.90909 17.50000 174.09091 0.77186
220.90909 17.50000 179.09091 0.70365
237.27273 17.50000 77.72727 0.72437
237.27273 17.50000 82.72727 0.80314
237.27273 17.50000 87.72727 0.90849
237.27273 17.50000 92.72727 1.03968
237.27273 17.50000 97.72727 1.19521
237.27273 17.50000 102.72727 1.38149
237.27273 17.50000 107.72727 1.62027
237.27273 17.50000 112.72727 1.90778
237.27273 17.50000 117.72727 2.16395
237.27273 17.50000 122.72727 2.24458
237.27273 17.50000 127.72727 2.08651
237.27273 17.50000 132.72727 1.78630
237.27273 17.50000 137.72727 1.48718
237.27273 17.50000 142.72727 1.25255
237.27273 17.50000 147.72727 1.07410
237.27273 17.50000 152.72727 0.93265
237.27273 17.50000 157.72727 0.82003
237.27273 17.50000 162.72727 0.73653
253.63636 17.50000 61.36364 0.72577
253.63636 17.50000 66.36364 0.80804
253.63636 17.50000 71.36364 0.91976
253.63636 17.50000 76.36364 1.06125
253.63636 17.50000 81.36364 1.23276
253.63636 17.50000 86.36364 1.44560
253.63636 17.50000 91.36364 1.72867
253.63636 17.50000 96.36364 2.08723
253.63636 17.50000 101.36364 2.42089
253.63636 17.50000 106.36364 2.53653
253.63636 17.50000 111.36364 2.34984
253.63636 17.50000 116.36364 1.98661
253.63636 17.50000 121.36364 1.63180
253.63636 17.50000 126.36364 1.36172
253.63636 17.50000 131.36364 1.15851
